2,2,2,2,3,3,3,3,4,4,4,5,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7,6,5,5,5,5,4,4,4,4,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,6,7,5,5,5,4,4,4,3,3,2,2,3,3,3,3,4,4,4,4,5,5,5,5,5,5,6,6,6,6,7,4,3,3,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7
2,2,2,2,2,3,3,3,3,4,4,4,5,5,5,5,5,5,6,6,6,6,6,7,7,7,7,5,5,5,5,4,4,4,4,3,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,7,5,5,4,4,4,3,3,3,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,5,6,6,6,6,7,4,3,3,3,3,3,3,4,4,4,5,5,6,6,6,6,7,7
2,2,2,2,2,2,3,3,3,3,4,4,4,5,5,5,5,5,5,6,6,6,6,6,7,7,7,5,5,5,4,4,4,4,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,5,4,4,4,4,3,3,2,2,2,2,3,3,3,3,3,4,4,4,4,5,5,5,5,5,6,6,6,7,3,3,3,2,3,3,3,3,4,4,5,5,6,6,6,6,7,7
2,2,2,2,2,2,2,3,3,3,3,4,4,4,5,5,5,5,5,5,6,6,6,6,6,7,7,5,5,4,4,4,4,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,5,5,4,4,4,4,3,3,2,2,2,2,3,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,3,3,2,2,2,3,3,3,3,4,5,5,5,6,6,6,6,7
3,2,2,2,2,2,2,2,3,3,3,4,4,4,4,4,5,5,5,5,5,6,6,6,6,7,7,5,5,4,4,4,3,3,3,3,2,2,3,3,3,3,4,4,4,5,5,5,5,5,6,6,6,5,5,5,4,4,4,3,3,3,2,3,2,2,3,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,3,2,2,2,2,2,3,3,3,4,4,5,5,5,6,6,6,7
3,3,2,2,2,2,2,2,2,2,3,3,4,4,4,4,5,5,5,5,5,5,6,6,6,6,7,5,4,4,4,3,3,3,3,2,2,2,2,2,3,3,3,4,4,4,5,5,5,5,5,6,6,5,5,5,5,4,4,3,3,3,2,3,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,6,6,3,2,2,2,2,2,2,3,3,4,4,5,5,5,5,6,6,7
3,3,3,2,2,2,2,2,2,2,3,3,3,4,4,4,4,5,5,5,5,5,6,6,6,6,7,5,4,4,4,3,3,3,2,2,2,2,2,2,3,3,3,3,4,4,5,5,5,5,5,6,6,5,5,5,5,5,4,3,3,3,3,3,2,2,2,2,3,3,3,3,3,4,4,4,4,5,5,5,5,6,3,2,2,2,2,2,3,3,3,4,4,5,5,5,6,6,6,7
3,3,3,3,2,2,2,2,2,2,2,3,3,3,4,4,4,4,5,5,5,5,5,6,6,6,6,4,4,4,3,3,3,2,2,2,2,2,2,2,2,3,3,3,3,4,4,5,5,5,5,6,6,6,5,5,5,5,4,4,4,3,3,3,2,2,2,2,2,3,3,3,3,3,4,4,4,5,5,5,5,6,3,3,2,2,2,2,3,3,3,4,4,4,5,5,5,6,6,7
4,3,3,3,3,2,2,2,2,2,2,3,3,3,3,4,4,5,5,5,5,5,5,6,6,6,7,4,4,4,4,3,3,3,2,2,2,2,2,2,3,3,3,3,4,4,5,5,5,5,5,6,6,6,5,5,5,5,5,4,4,3,3,3,2,2,2,2,3,3,3,3,3,4,4,4,4,5,5,5,5,6,3,3,2,2,2,3,3,3,4,4,5,5,5,5,6,6,6,7
4,4,3,3,3,2,2,2,2,2,2,2,3,3,3,4,4,4,5,5,5,5,5,6,6,6,6,4,4,3,4,3,3,3,3,2,2,2,2,2,3,3,3,4,4,4,5,5,5,5,6,6,6,6,6,5,5,5,5,4,4,4,3,3,3,2,2,2,3,3,3,3,4,4,4,4,4,5,5,5,5,6,3,3,3,2,3,3,3,3,4,4,5,5,5,5,6,6,6,7
4,4,4,3,3,3,3,2,2,2,2,2,2,3,3,3,4,4,4,4,5,5,5,5,5,6,6,4,3,3,3,4,4,3,3,3,3,2,3,3,3,3,4,4,4,5,5,5,5,6,6,6,6,6,6,6,5,5,5,5,4,4,4,4,3,3,3,3,3,3,4,4,4,3,3,3,4,4,5,5,5,5,4,3,3,3,3,3,3,4,4,5,5,5,6,6,6,6,7,7
5,4,4,4,4,3,3,3,3,2,2,2,2,2,2,3,3,4,4,4,4,5,5,5,5,6,6,4,3,3,3,3,3,4,3,3,3,3,3,3,4,4,4,4,5,5,5,6,6,6,6,6,7,6,6,6,6,6,5,5,5,4,4,4,3,3,3,3,3,4,4,4,3,3,3,3,3,4,4,5,5,5,4,4,3,3,3,4,4,4,5,5,5,5,6,6,6,7,7,7
5,5,4,4,4,4,3,3,3,3,2,2,2,2,2,3,3,3,3,4,4,4,5,5,5,5,6,4,3,3,3,3,4,4,4,4,3,3,3,4,4,4,4,5,5,5,6,6,6,6,6,7,7,7,6,6,6,6,6,5,5,5,4,4,4,4,3,4,4,4,3,3,3,3,3,3,3,3,4,4,5,5,4,4,4,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7
5,5,5,4,4,4,4,3,3,3,3,2,2,2,2,2,3,3,3,3,4,4,4,5,5,5,5,4,4,3,3,4,4,4,4,4,4,3,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,3,3,4,4,4,5,5,4,4,4,4,4,4,5,5,5,6,6,6,6,7,7,7,7
5,5,5,5,4,4,4,4,3,3,3,2,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,4,4,3,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,6,6,6,7,7,7,7,7,7,6,6,6,6,5,5,5,5,5,4,4,4,4,3,3,3,3,3,2,2,2,3,3,3,4,4,5,5,5,4,4,4,4,5,5,5,5,6,6,6,7,7,7,7,8
5,5,5,5,4,4,4,4,4,4,3,3,3,2,2,2,2,2,3,3,3,3,4,4,4,5,5,3,4,4,4,4,5,4,4,4,4,4,3,4,4,4,4,5,5,5,6,6,6,6,6,7,7,7,7,6,6,6,6,5,5,5,5,4,4,4,3,3,3,3,3,2,2,2,2,2,2,3,3,3,4,4,5,5,4,4,4,4,4,5,5,5,6,6,6,6,7,7,7,7
5,5,5,5,5,5,4,4,4,4,4,3,3,3,3,2,2,2,2,2,3,3,3,4,4,4,5,4,4,4,4,5,5,5,5,4,4,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,7,7,7,7,6,6,6,5,5,5,5,4,4,4,4,4,3,3,3,3,2,2,2,3,3,4,4,4,5,5,5,5,5,4,4,5,5,5,5,6,6,6,7,7,7,7,8
6,5,5,5,5,5,5,4,5,4,4,4,3,3,3,2,2,2,2,2,2,3,3,3,4,4,5,4,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,6,6,6,7,7,7,7,7,7,7,7,7,7,6,6,6,5,5,5,5,4,4,4,4,4,3,3,3,3,2,3,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,7,7,7,7,7,8
